,location,total_sqft,bath,price,bhk
68,1st Stage Indira Nagar,940.0,2.0,56.0,2
69,1st Stage Indira Nagar,3000.0,4.0,301.0,4
70,2nd Block Hrbr Layout,1480.0,3.0,90.0,3
71,2nd Block Hrbr Layout,1480.0,3.0,90.0,3
72,2nd Block Hrbr Layout,1550.0,3.0,110.0,3
73,2nd Block Hrbr Layout,1050.0,6.0,74.0,4
74,2nd Block Hrbr Layout,1350.0,4.0,235.0,4
75,2nd Block Jayanagar,1718.0,3.0,223.0,3
76,2nd Block Jayanagar,4920.0,5.0,1150.0,4
77,2nd Block Jayanagar,1000.0,2.0,97.0,2
78,2nd Phase JP Nagar,2800.0,4.0,200.0,5
79,2nd Phase JP Nagar,1000.0,1.0,55.0,2
80,2nd Phase JP Nagar,1350.0,8.0,185.0,8
81,2nd Phase JP Nagar,1200.0,3.0,190.0,3
82,2nd Phase JP Nagar,1040.0,2.0,78.0,2
83,2nd Phase JP Nagar,850.0,2.0,42.5,2
84,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
85,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
86,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
87,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
88,2nd Phase Judicial Layout,900.0,2.0,41.0,2
89,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
90,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
91,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
92,2nd Stage Arekere Mico Layout,1200.0,4.0,130.0,4
93,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
94,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
95,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
96,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4
97,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
98,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
99,2nd Stage Nagarbhavi,600.0,3.0,95.0,4
100,2nd Stage Nagarbhavi,600.0,4.0,100.0,3
101,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
102,2nd Stage Nagarbhavi,600.0,4.0,125.0,4
103,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
104,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
105,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
106,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
107,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
108,2nd Stage Nagarbhavi,600.0,3.0,84.0,4
109,2nd Stage Nagarbhavi,600.0,3.0,82.0,4
110,2nd Stage Nagarbhavi,1500.0,4.0,233.0,6
111,2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
112,3rd Block Banashankari,2400.0,8.0,650.0,6
113,3rd Block Banashankari,1200.0,4.0,175.0,4
114,3rd Block Banashankari,2400.0,4.0,325.0,5
115,3rd Block Hrbr Layout,1200.0,5.0,190.0,5
116,3rd Block Hrbr Layout,1056.0,2.0,80.0,2
117,3rd Block Hrbr Layout,1300.0,2.0,95.0,2
118,3rd Block Hrbr Layout,1650.0,3.0,140.0,3
119,3rd Block Jayanagar,2150.0,3.0,240.0,3
120,3rd Block Koramangala,2100.0,3.0,270.0,3
121,3rd Phase JP Nagar,4500.0,4.0,345.0,4
122,4th Block Jayanagar,900.0,2.0,70.0,2
123,4th Block Jayanagar,2005.0,3.0,240.0,3
124,4th Block Jayanagar,1567.2,2.0,190.0,3
125,4th Block Koramangala,1225.0,2.0,150.0,2
126,4th Block Koramangala,4500.0,9.0,500.0,9
127,4th Block Koramangala,1800.0,3.0,140.0,3
128,4th Block Koramangala,3400.0,6.0,420.0,4
129,4th Block Koramangala,1269.0,2.0,97.0,2
130,4th Phase JP Nagar,1070.0,2.0,38.9,2
131,4th Phase JP Nagar,1080.0,2.0,38.0,2
132,4th Phase JP Nagar,600.0,4.0,70.0,2
133,4th T block Jayanagar,2401.0,3.0,185.0,3
134,4th T block Jayanagar,3900.0,4.0,333.0,4
135,4th T block Jayanagar,1550.0,4.0,120.0,4
136,4th T block Jayanagar,2100.0,3.0,220.0,3
137,4th T block Jayanagar,2400.0,3.0,185.0,3
138,5th Block Hbr Layout,1206.0,2.0,56.0,2
139,5th Block Hbr Layout,1270.0,2.0,70.0,3
140,5th Block Hbr Layout,1200.0,6.0,220.0,5
141,5th Block Hbr Layout,1200.0,4.0,205.0,4
142,5th Block Hbr Layout,1312.0,2.0,69.0,2
143,5th Block Hbr Layout,1200.0,5.0,205.0,5
144,5th Block Hbr Layout,5100.0,5.0,300.0,6
145,5th Block Hbr Layout,1200.0,5.0,205.0,5
146,5th Block Jayanagar,1500.0,1.0,300.0,1
147,5th Phase JP Nagar,1075.0,2.0,60.0,2
148,5th Phase JP Nagar,1150.0,3.0,52.5,2
149,5th Phase JP Nagar,1070.0,2.0,39.0,2
150,5th Phase JP Nagar,1256.0,2.0,62.8,2
151,5th Phase JP Nagar,1207.0,2.0,63.0,2
152,5th Phase JP Nagar,1725.0,2.0,100.0,3
153,5th Phase JP Nagar,1440.0,2.0,60.0,2
154,5th Phase JP Nagar,1400.0,2.0,88.0,3
155,5th Phase JP Nagar,1450.0,2.0,58.0,2
156,5th Phase JP Nagar,1700.0,2.0,100.0,3
157,5th Phase JP Nagar,1485.0,2.0,67.0,3
158,5th Phase JP Nagar,2500.0,5.0,110.0,5
159,5th Phase JP Nagar,600.0,1.0,30.0,1
160,5th Phase JP Nagar,1390.0,2.0,65.0,2
161,5th Phase JP Nagar,1256.0,2.0,62.8,2
162,5th Phase JP Nagar,1220.0,2.0,88.0,2
163,5th Phase JP Nagar,1000.0,2.0,48.0,2
164,5th Phase JP Nagar,1350.0,2.0,75.0,3
165,5th Phase JP Nagar,552.0,1.0,23.5,1
166,5th Phase JP Nagar,1200.0,2.0,51.0,2
167,5th Phase JP Nagar,1240.0,3.0,60.0,3
168,5th Phase JP Nagar,1550.0,3.0,75.0,3
169,5th Phase JP Nagar,1485.0,2.0,66.0,3
170,5th Phase JP Nagar,1030.0,2.0,57.0,2
171,5th Phase JP Nagar,1200.0,2.0,68.0,2
172,5th Phase JP Nagar,1190.0,2.0,61.8,2
173,5th Phase JP Nagar,4000.0,5.0,170.0,5
174,5th Phase JP Nagar,1080.0,2.0,53.0,2
175,5th Phase JP Nagar,1041.0,2.0,54.0,2
176,5th Phase JP Nagar,812.0,2.0,42.0,2
177,5th Phase JP Nagar,1010.0,2.0,57.0,2
178,5th Phase JP Nagar,1450.0,2.0,73.0,3
179,5th Phase JP Nagar,2500.0,8.0,95.0,7
180,5th Phase JP Nagar,1075.0,2.0,60.0,2
181,5th Phase JP Nagar,2400.0,4.0,228.0,4
182,5th Stage BEML Layout,2000.0,3.0,85.0,3
183,5th Stage BEML Layout,2000.0,3.0,85.0,3
184,6th Phase JP Nagar,1192.0,2.0,74.0,2
185,6th Phase JP Nagar,1180.0,2.0,80.0,2
186,6th Phase JP Nagar,3245.0,4.0,250.0,4
187,6th Phase JP Nagar,1645.0,3.0,100.0,3
188,6th Phase JP Nagar,1280.0,2.0,56.0,2
189,6th Phase JP Nagar,1140.0,2.0,65.0,2
190,6th Phase JP Nagar,1650.0,6.0,135.0,8
191,6th Phase JP Nagar,2040.0,3.0,200.0,3
192,6th Phase JP Nagar,1213.0,2.0,63.0,2
193,6th Phase JP Nagar,1350.0,2.0,58.0,3
194,6th Phase JP Nagar,1170.0,2.0,120.0,2
195,6th Phase JP Nagar,1216.0,2.0,60.0,2
196,6th Phase JP Nagar,1460.0,2.0,80.0,2
197,6th Phase JP Nagar,2003.0,3.0,200.0,3
198,6th Phase JP Nagar,1810.0,3.0,131.0,3
199,6th Phase JP Nagar,1515.0,2.0,135.0,3
200,6th Phase JP Nagar,1192.0,2.0,75.0,2
201,6th Phase JP Nagar,1280.0,2.0,88.0,2
202,6th block Koramangala,2350.0,3.0,400.0,3
203,6th block Koramangala,1117.0,2.0,110.0,2
204,6th block Koramangala,3000.0,3.0,400.0,3
205,7th Block Jayanagar,3000.0,3.0,528.0,5
206,7th Block Jayanagar,2400.0,3.0,408.0,3
207,7th Block Jayanagar,1903.0,2.0,293.0,3
208,7th Phase JP Nagar,1080.0,2.0,72.0,2
209,7th Phase JP Nagar,1270.0,2.0,93.0,2
210,7th Phase JP Nagar,1420.0,2.0,100.0,3
211,7th Phase JP Nagar,1850.0,3.0,150.0,3
212,7th Phase JP Nagar,1245.0,2.0,94.0,2
213,7th Phase JP Nagar,1175.0,2.0,82.0,2
214,7th Phase JP Nagar,1400.0,2.0,95.0,3
215,7th Phase JP Nagar,2225.0,3.0,160.0,3
216,7th Phase JP Nagar,1050.0,2.0,71.0,2
217,7th Phase JP Nagar,1100.0,2.0,46.0,2
218,7th Phase JP Nagar,918.0,2.0,50.49,2
219,7th Phase JP Nagar,1450.0,2.0,100.0,3
220,7th Phase JP Nagar,1070.0,2.0,42.79,2
221,7th Phase JP Nagar,1190.0,2.0,49.98,2
222,7th Phase JP Nagar,1420.0,2.0,96.0,3
223,7th Phase JP Nagar,1680.0,3.0,120.0,3
224,7th Phase JP Nagar,1050.0,2.0,42.0,2
225,7th Phase JP Nagar,980.0,2.0,69.0,2
226,7th Phase JP Nagar,1035.0,2.0,41.39,2
227,7th Phase JP Nagar,1370.0,2.0,56.17,2
228,7th Phase JP Nagar,1180.0,2.0,72.0,2
229,7th Phase JP Nagar,5080.0,7.0,450.0,6
230,7th Phase JP Nagar,1300.0,2.0,52.0,3
231,7th Phase JP Nagar,1050.0,2.0,57.0,3
232,7th Phase JP Nagar,1343.0,2.0,56.41,3
233,7th Phase JP Nagar,1405.0,2.0,59.01,3
234,7th Phase JP Nagar,1400.0,3.0,115.0,3
235,7th Phase JP Nagar,1075.0,2.0,42.99,2
236,7th Phase JP Nagar,1100.0,2.0,44.0,2
237,7th Phase JP Nagar,1270.0,2.0,83.0,2
238,7th Phase JP Nagar,3300.0,4.0,150.0,4
239,7th Phase JP Nagar,2503.0,4.0,188.0,4
240,7th Phase JP Nagar,2200.0,3.0,190.0,3
241,7th Phase JP Nagar,1250.0,3.0,65.0,3
242,7th Phase JP Nagar,1050.0,2.0,42.0,2
243,7th Phase JP Nagar,1385.0,2.0,58.17,3
244,7th Phase JP Nagar,1575.0,2.0,110.0,3
245,7th Phase JP Nagar,1850.0,3.0,140.0,3
246,7th Phase JP Nagar,1370.0,2.0,54.79,3
247,7th Phase JP Nagar,1370.0,2.0,54.79,3
248,7th Phase JP Nagar,1300.0,2.0,52.0,3
249,7th Phase JP Nagar,1575.0,2.0,120.0,3
250,7th Phase JP Nagar,1850.0,3.0,150.0,3
251,7th Phase JP Nagar,1680.0,3.0,120.0,3
252,7th Phase JP Nagar,1175.0,2.0,82.5,2
253,7th Phase JP Nagar,3300.0,4.0,160.0,3
254,7th Phase JP Nagar,2200.0,4.0,105.0,3
255,7th Phase JP Nagar,1215.0,2.0,90.0,2
256,7th Phase JP Nagar,1050.0,2.0,75.0,2
257,7th Phase JP Nagar,1300.0,3.0,89.13,3
258,7th Phase JP Nagar,1130.0,2.0,73.0,2
259,7th Phase JP Nagar,1450.0,3.0,100.0,3
260,7th Phase JP Nagar,1350.0,3.0,58.0,3
261,7th Phase JP Nagar,1050.0,2.0,50.0,2
262,7th Phase JP Nagar,1275.0,2.0,87.0,2
263,7th Phase JP Nagar,1460.0,3.0,70.0,3
264,7th Phase JP Nagar,1650.0,3.0,110.0,3
265,7th Phase JP Nagar,850.0,2.0,42.0,2
266,7th Phase JP Nagar,1680.0,3.0,117.0,3
267,7th Phase JP Nagar,1850.0,3.0,150.0,3
268,7th Phase JP Nagar,1236.0,2.0,61.33,2
269,7th Phase JP Nagar,1000.0,2.0,53.0,2
270,7th Phase JP Nagar,1680.0,3.0,125.0,3
271,7th Phase JP Nagar,1675.0,2.0,135.0,3
272,7th Phase JP Nagar,1187.0,2.0,59.0,2
273,7th Phase JP Nagar,1850.0,3.0,155.0,3
274,7th Phase JP Nagar,1000.0,2.0,61.0,2
275,7th Phase JP Nagar,1460.0,2.0,100.0,3
276,7th Phase JP Nagar,1650.0,3.0,110.0,3
277,7th Phase JP Nagar,1200.0,2.0,62.5,2
278,7th Phase JP Nagar,1000.0,2.0,70.65,2
279,7th Phase JP Nagar,1070.0,2.0,42.0,2
280,7th Phase JP Nagar,1080.0,2.0,75.0,2
281,7th Phase JP Nagar,1415.0,3.0,65.0,3
282,7th Phase JP Nagar,1680.0,3.0,125.0,3
283,7th Phase JP Nagar,1040.0,2.0,41.59,2
284,7th Phase JP Nagar,1100.0,2.0,44.0,2
285,7th Phase JP Nagar,1460.0,2.0,97.0,3
286,7th Phase JP Nagar,1120.0,2.0,65.0,2
287,7th Phase JP Nagar,1100.0,3.0,60.0,2
288,7th Phase JP Nagar,1790.0,3.0,120.0,3
289,7th Phase JP Nagar,1680.0,3.0,117.0,3
290,7th Phase JP Nagar,1050.0,2.0,77.0,2
291,7th Phase JP Nagar,1174.0,2.0,47.0,2
292,7th Phase JP Nagar,1050.0,2.0,75.0,2
293,7th Phase JP Nagar,1040.0,2.0,75.0,2
294,7th Phase JP Nagar,1400.0,2.0,95.0,3
295,7th Phase JP Nagar,1800.0,3.0,130.0,3
296,7th Phase JP Nagar,1050.0,2.0,68.0,2
297,7th Phase JP Nagar,1400.0,2.0,57.0,3
298,7th Phase JP Nagar,1000.0,2.0,60.0,2
299,7th Phase JP Nagar,1680.0,3.0,125.0,3
300,7th Phase JP Nagar,980.0,2.0,86.0,2
301,7th Phase JP Nagar,1370.0,2.0,54.79,3
302,7th Phase JP Nagar,1050.0,2.0,77.47,2
303,7th Phase JP Nagar,1270.0,2.0,80.0,2
304,7th Phase JP Nagar,1463.0,2.0,61.45,3
305,7th Phase JP Nagar,1680.0,3.0,122.0,3
306,7th Phase JP Nagar,1070.0,2.0,42.79,2
307,7th Phase JP Nagar,1130.0,2.0,85.0,2
308,7th Phase JP Nagar,1680.0,3.0,130.0,3
309,7th Phase JP Nagar,1300.0,2.0,52.0,3
310,7th Phase JP Nagar,2980.0,4.0,260.0,3
311,7th Phase JP Nagar,980.0,2.0,77.44,2
312,7th Phase JP Nagar,1680.0,3.0,112.0,3
313,7th Phase JP Nagar,1515.0,2.0,76.0,3
314,7th Phase JP Nagar,2095.0,3.0,150.0,3
315,7th Phase JP Nagar,1370.0,2.0,54.79,3
316,7th Phase JP Nagar,1976.0,3.0,145.0,3
317,7th Phase JP Nagar,1600.0,2.0,110.0,3
318,7th Phase JP Nagar,1765.0,3.0,118.0,3
319,7th Phase JP Nagar,1275.0,2.0,88.0,3
320,7th Phase JP Nagar,1450.0,2.0,102.0,3
321,7th Phase JP Nagar,1575.0,2.0,110.0,3
322,7th Phase JP Nagar,1075.0,2.0,57.0,3
323,7th Phase JP Nagar,750.0,1.0,47.0,1
324,7th Phase JP Nagar,1050.0,2.0,42.0,2
325,7th Phase JP Nagar,990.0,2.0,50.0,2
326,7th Phase JP Nagar,1000.0,1.0,60.0,1
327,7th Phase JP Nagar,1680.0,2.0,92.0,3
328,7th Phase JP Nagar,1100.0,2.0,44.0,2
329,7th Phase JP Nagar,1430.0,2.0,102.0,3
330,7th Phase JP Nagar,1128.0,2.0,60.0,2
331,7th Phase JP Nagar,2100.0,3.0,190.0,3
332,7th Phase JP Nagar,1140.0,2.0,57.0,2
333,7th Phase JP Nagar,1420.0,3.0,90.0,3
334,7th Phase JP Nagar,1530.0,2.0,108.0,2
335,8th Block Jayanagar,2000.0,6.0,300.0,6
336,8th Block Jayanagar,1500.0,6.0,300.0,6
337,8th Phase JP Nagar,1073.5,2.0,54.005,2
338,8th Phase JP Nagar,451.0,1.0,29.9,1
339,8th Phase JP Nagar,1240.0,3.0,43.5,3
340,8th Phase JP Nagar,1062.0,2.0,42.47,2
341,8th Phase JP Nagar,1230.0,2.0,43.5,3
342,8th Phase JP Nagar,1455.0,3.0,73.31,3
343,8th Phase JP Nagar,871.0,2.0,55.0,2
344,8th Phase JP Nagar,1098.0,2.0,43.91,2
345,8th Phase JP Nagar,1800.0,3.0,80.0,3
346,8th Phase JP Nagar,2700.0,4.0,130.0,4
347,8th Phase JP Nagar,1080.0,2.0,38.0,2
348,8th Phase JP Nagar,1059.0,2.0,34.5,2
349,8th Phase JP Nagar,1080.0,2.0,35.0,2
350,8th Phase JP Nagar,1275.0,2.0,41.5,3
351,8th Phase JP Nagar,1062.0,2.0,42.47,2
352,8th Phase JP Nagar,500.0,1.0,31.0,1
353,8th Phase JP Nagar,1100.0,2.0,35.0,2
354,8th Phase JP Nagar,2100.0,4.0,92.0,4
355,8th Phase JP Nagar,1035.0,2.0,39.33,2
356,8th Phase JP Nagar,909.0,2.0,40.9,2
357,8th Phase JP Nagar,1431.5,3.0,72.02,3
358,8th Phase JP Nagar,1900.0,4.0,90.0,3
359,8th Phase JP Nagar,500.0,1.0,30.0,1
360,8th Phase JP Nagar,1125.0,2.0,36.94,2
361,8th Phase JP Nagar,1200.0,3.0,110.0,4
362,8th Phase JP Nagar,1100.0,2.0,35.0,2
363,8th Phase JP Nagar,1089.0,2.0,43.55,2
364,8th Phase JP Nagar,1605.0,2.0,65.0,3
365,8th Phase JP Nagar,1504.0,2.0,83.0,3
366,8th Phase JP Nagar,2600.0,4.0,115.0,4
367,8th Phase JP Nagar,1368.0,2.0,54.71,3
368,8th Phase JP Nagar,1089.0,2.0,43.55,2
369,8th Phase JP Nagar,1224.0,2.0,48.95,3
370,8th Phase JP Nagar,1513.0,2.0,62.0,2
371,8th Phase JP Nagar,1298.0,2.0,59.0,2
372,8th Phase JP Nagar,1006.0,2.0,44.0,2
373,8th Phase JP Nagar,500.0,1.0,33.0,1
374,8th Phase JP Nagar,1160.0,2.0,95.0,2
375,8th Phase JP Nagar,1245.0,2.0,59.0,2
376,8th Phase JP Nagar,1510.0,2.0,80.0,2
377,8th Phase JP Nagar,3300.0,3.0,165.0,3
378,8th Phase JP Nagar,1730.0,5.0,75.0,5
379,8th Phase JP Nagar,1296.0,2.0,51.83,3
380,8th Phase JP Nagar,1275.0,3.0,45.0,3
381,8th Phase JP Nagar,1046.0,2.0,48.0,2
382,8th Phase JP Nagar,1269.0,2.0,50.75,3
383,8th Phase JP Nagar,1408.0,3.0,80.0,3
384,8th Phase JP Nagar,1500.0,2.0,55.0,3
385,8th block Koramangala,1846.0,3.0,300.0,3
386,8th block Koramangala,1410.0,1.0,233.0,2
387,8th block Koramangala,1165.0,2.0,135.0,2
388,8th block Koramangala,2400.0,3.0,290.0,3
389,8th block Koramangala,600.0,2.0,85.0,3
390,9th Block Jayanagar,700.0,1.0,150.0,1
391,9th Block Jayanagar,1200.0,8.0,270.0,9
392,9th Block Jayanagar,1000.0,5.0,200.0,4
393,9th Phase JP Nagar,1005.0,2.0,50.0,2
394,9th Phase JP Nagar,1890.0,2.0,85.0,3
395,9th Phase JP Nagar,1100.0,2.0,65.0,2
396,9th Phase JP Nagar,1080.0,2.0,37.0,2
397,9th Phase JP Nagar,1035.0,2.0,45.0,2
398,9th Phase JP Nagar,5000.0,4.0,290.0,4
399,9th Phase JP Nagar,1164.0,2.0,56.0,2
400,9th Phase JP Nagar,1005.0,2.0,42.0,2
401,9th Phase JP Nagar,3500.0,4.0,300.0,4
402,9th Phase JP Nagar,1127.0,2.0,50.0,2
403,9th Phase JP Nagar,1005.0,2.0,43.0,2
404,9th Phase JP Nagar,835.0,2.0,37.0,2
405,9th Phase JP Nagar,1050.0,2.0,39.0,2
406,9th Phase JP Nagar,660.0,2.0,27.0,2
407,9th Phase JP Nagar,600.0,1.0,20.0,1
408,9th Phase JP Nagar,1466.0,2.0,71.0,2
409,9th Phase JP Nagar,1890.0,2.0,93.0,3
410,9th Phase JP Nagar,1079.0,2.0,60.0,2
411,9th Phase JP Nagar,1480.0,2.0,80.0,2
412,9th Phase JP Nagar,1200.0,2.0,80.0,2
413,9th Phase JP Nagar,905.0,2.0,32.0,2
414,9th Phase JP Nagar,1073.0,2.0,52.36,2
415,9th Phase JP Nagar,1719.3,2.0,88.0,3
416,9th Phase JP Nagar,1780.0,3.0,88.0,3
417,9th Phase JP Nagar,1300.0,2.0,58.0,3
418,9th Phase JP Nagar,1522.0,3.0,90.0,3
419,9th Phase JP Nagar,1571.0,3.0,65.0,3
420,9th Phase JP Nagar,1900.0,4.0,80.0,4
421,9th Phase JP Nagar,890.0,2.0,45.0,2
422,9th Phase JP Nagar,1240.0,2.0,39.89,3
423,9th Phase JP Nagar,5000.0,4.0,300.0,4
424,9th Phase JP Nagar,1240.0,2.0,42.85,3
425,9th Phase JP Nagar,1050.0,2.0,35.0,2
426,9th Phase JP Nagar,1331.95,2.0,69.0,2
427,A Narayanapura,1150.0,3.0,110.0,4
428,A Narayanapura,1150.0,4.0,110.0,4
429,A Narayanapura,600.0,2.0,35.0,1
430,A Narayanapura,1500.0,2.0,85.0,1
431,AECS Layout,1100.0,2.0,45.0,2
432,AECS Layout,1028.0,2.0,42.0,2
433,AECS Layout,1199.0,2.0,65.0,2
434,AECS Layout,1080.0,2.0,55.0,2
435,AECS Layout,1123.0,2.0,64.0,2
436,AECS Layout,1308.0,2.0,60.0,2
437,AECS Layout,1005.0,2.0,55.0,2
438,AECS Layout,2000.0,3.0,90.0,3
439,AGS Layout,1450.0,2.0,85.0,3
440,AGS Layout,1040.0,2.0,46.79,2
441,AGS Layout,1936.0,3.0,110.0,3
442,AGS Layout,1075.0,2.0,48.38,2
443,AMS Layout,1650.0,2.0,80.0,3
444,AMS Layout,1200.0,4.0,80.0,3
445,Abbaiah Reddy Layout,1310.0,2.0,50.0,3
446,Abbaiah Reddy Layout,1100.0,2.0,38.45,2
447,Abbaiah Reddy Layout,1100.0,2.0,38.49,2
448,Abbaiah Reddy Layout,1190.0,2.0,41.0,2
449,Abbaiah Reddy Layout,1100.0,2.0,38.5,2
450,Abbigere,985.0,2.0,40.39,2
451,Abbigere,2200.0,6.0,68.0,6
452,Abbigere,765.0,2.0,30.0,1
453,Abbigere,880.0,2.0,35.0,2
454,Abbigere,795.0,2.0,32.54,2
455,Abbigere,1005.0,2.0,39.59,2
456,Abbigere,734.0,1.0,19.82,1
457,Abbigere,1260.0,2.0,45.0,3
458,Abbigere,1020.0,2.0,41.82,2
459,Abbigere,985.0,2.0,40.39,2
460,Abbigere,2500.0,6.0,81.0,6
461,Abbigere,795.0,2.0,32.54,2
462,Abbigere,1130.0,2.0,46.33,2
463,Abbigere,795.0,1.0,32.6,2
464,Abbigere,3000.0,8.0,150.0,8
465,Abbigere,985.0,2.0,38.92,2
466,Abbigere,1000.0,2.0,41.0,2
467,Abbigere,995.0,2.0,40.8,2
468,Abbigere,1020.0,2.0,40.8,2
469,Adityanagar,1260.0,1.0,41.0,1
470,Adityanagar,1260.0,1.0,41.0,1
471,Agrahara Dasarahalli,800.0,1.0,72.0,1
472,Agrahara Dasarahalli,1350.0,1.0,120.0,3
473,Aishwarya Crystal Layout,2250.0,3.0,113.0,3
474,Aishwarya Crystal Layout,1053.0,2.0,51.0,2
475,Akshaya Nagar,1388.0,2.0,57.0,2
476,Akshaya Nagar,1070.0,2.0,54.0,2
477,Akshaya Nagar,1280.0,2.0,58.0,2
478,Akshaya Nagar,1662.0,3.0,85.1,3
479,Akshaya Nagar,1897.0,3.0,120.0,3
480,Akshaya Nagar,1410.0,2.0,75.0,3
481,Akshaya Nagar,1360.0,2.0,85.0,3
482,Akshaya Nagar,1600.0,2.0,65.0,3
483,Akshaya Nagar,1410.0,2.0,80.0,3
484,Akshaya Nagar,1662.0,3.0,85.0,3
485,Akshaya Nagar,1080.0,4.0,75.0,4
486,Akshaya Nagar,1662.0,3.0,85.5,3
487,Akshaya Nagar,1280.0,2.0,60.0,2
488,Akshaya Nagar,1666.0,3.0,95.0,3
489,Akshaya Nagar,1575.0,3.0,90.0,3
490,Akshaya Nagar,1430.0,2.0,75.0,3
491,Akshaya Nagar,1419.0,2.0,73.0,3
